id,name,location,link
141,Schvarcz Július,Slovakia,rozhodca.php?meno=Schvarcz Július&mesto=Slovakia
142,Balogh Csongor,Hungary,rozhodca.php?meno=Balogh Csongor&mesto=Hungary
143,Mayerné Zsiros Gabriella,Felgyő,rozhodca.php?meno=Mayerné Zsiros Gabriella&mesto=Felgyő
144,Verebélyi Viktória,Szentes,rozhodca.php?meno=Verebélyi Viktória&mesto=Szentes
145,Bana Lilla,-,rozhodca.php?meno=Bana Lilla&mesto=-
146,Debreceni Attila,-,rozhodca.php?meno=Debreceni Attila&mesto=-
147,Dalotti Tibor,-,rozhodca.php?meno=Dalotti Tibor&mesto=-
148,Meszlényi Viktória,-,rozhodca.php?meno=Meszlényi Viktória&mesto=-
149,Fülöp Milán,-,rozhodca.php?meno=Fülöp Milán&mesto=-
150,Molnár József,Jászberény,rozhodca.php?meno=Molnár József&mesto=Jászberény
151,Tóth Mónika,Zalaegyerszeg,rozhodca.php?meno=Tóth Mónika&mesto=Zalaegyerszeg
152,Várhegyiné Nagy Rózsa,Hungary,rozhodca.php?meno=Várhegyiné Nagy Rózsa&mesto=Hungary
153,Jebelóczki Richárd,Nyíregyháza,rozhodca.php?meno=Jebelóczki Richárd&mesto=Nyíregyháza
154,Török-Zsuppán Alexandra,Budapest,rozhodca.php?meno=Török-Zsuppán Alexandra&mesto=Budapest
155,Oláhné Molnár Anna,Szolnok,rozhodca.php?meno=Oláhné Molnár Anna&mesto=Szolnok
156,Baráth Péter,Miskolc,rozhodca.php?meno=Baráth Péter&mesto=Miskolc
157,Barsi Mónika Éva,-,rozhodca.php?meno=Barsi Mónika Éva&mesto=-
158,Dr. Hetei Raymond Zoltán,Budapest,rozhodca.php?meno=Dr. Hetei Raymond Zoltán&mesto=Budapest
159,Ingrid Fussek,Austria,rozhodca.php?meno=Ingrid Fussek&mesto=Austria
160,Zsilák Zsuzsanna Edit,Szeged,rozhodca.php?meno=Zsilák Zsuzsanna Edit&mesto=Szeged
161,Norbert Somogyi,Horvátország,rozhodca.php?meno=Norbert Somogyi&mesto=Horvátország
162,Milka Camdzic,Horvátország,rozhodca.php?meno=Milka Camdzic&mesto=Horvátország
163,Őze László,Szeged,rozhodca.php?meno=Őze László&mesto=Szeged
164,Kuzma Renáta,Zalaegerszeg,rozhodca.php?meno=Kuzma Renáta&mesto=Zalaegerszeg
165,Pap Balázs,Szentes,rozhodca.php?meno=Pap Balázs&mesto=Szentes
166,Havas Márta Gyöngyvér,Debrecen,rozhodca.php?meno=Havas Márta Gyöngyvér&mesto=Debrecen
167,Pálinkó Lujza,Szeged,rozhodca.php?meno=Pálinkó Lujza&mesto=Szeged
168,Terdik- Tasi Tímea,Debrecen,rozhodca.php?meno=Terdik- Tasi Tímea&mesto=Debrecen
169,Balázs Zsombor,Nyíregyháza,rozhodca.php?meno=Balázs Zsombor&mesto=Nyíregyháza
170,Faludiné Lovas Henriette,Szombathely,rozhodca.php?meno=Faludiné Lovas Henriette&mesto=Szombathely
171,Sólyom Fanni,Budapest,rozhodca.php?meno=Sólyom Fanni&mesto=Budapest
172,Felczán Béla,Békéscsaba,rozhodca.php?meno=Felczán Béla&mesto=Békéscsaba
173,Tóth Mónika Éva,Zalaegerszeg,rozhodca.php?meno=Tóth Mónika Éva&mesto=Zalaegerszeg
174,Markó Róbert,Budapest,rozhodca.php?meno=Markó Róbert&mesto=Budapest
175,Erdélyi Szilárd Dénes,Budapest,rozhodca.php?meno=Erdélyi Szilárd Dénes&mesto=Budapest
176,Kovács  Sándor,Budapest,rozhodca.php?meno=Kovács  Sándor&mesto=Budapest
177,Balázs Erik Gábor,Kaposvár,rozhodca.php?meno=Balázs Erik Gábor&mesto=Kaposvár
178,Kovács Máté,Budapest,rozhodca.php?meno=Kovács Máté&mesto=Budapest
179,Budai Attila,-,rozhodca.php?meno=Budai Attila&mesto=-
180,Balikó Károlyné,Budapest,rozhodca.php?meno=Balikó Károlyné&mesto=Budapest
181,Szalai Ágnes,-,rozhodca.php?meno=Szalai Ágnes&mesto=-
182,Becz Attila,Budapest,rozhodca.php?meno=Becz Attila&mesto=Budapest
183,Dr. Török József,Ostoros,rozhodca.php?meno=Dr. Török József&mesto=Ostoros
184,Jenei Éva,Budapest,rozhodca.php?meno=Jenei Éva&mesto=Budapest
185,Balassa Júlia,Nagykanizsa,rozhodca.php?meno=Balassa Júlia&mesto=Nagykanizsa
186,Berkes Sándor,Nagybajom,rozhodca.php?meno=Berkes Sándor&mesto=Nagybajom
187,Jánosi László,Tóalmás,rozhodca.php?meno=Jánosi László&mesto=Tóalmás
188,Meretei - Simon Beáta,Zalaegerszeg,rozhodca.php?meno=Meretei - Simon Beáta&mesto=Zalaegerszeg
189,Simonyi Hornyák Hajnalka,-,rozhodca.php?meno=Simonyi Hornyák Hajnalka&mesto=-
190,Törökgyörgy Józsefné,Kistelek,rozhodca.php?meno=Törökgyörgy Józsefné&mesto=Kistelek
191,Mihály János,Budapest,rozhodca.php?meno=Mihály János&mesto=Budapest
192,Skufca-Törökgyörgy Melinda,Kistelek,rozhodca.php?meno=Skufca-Törökgyörgy Melinda&mesto=Kistelek
193,Kósa Róland,Budapest,rozhodca.php?meno=Kósa Róland&mesto=Budapest
194,Váradi Martina,-,rozhodca.php?meno=Váradi Martina&mesto=-
195,Jurásné Miklósi Ivett,-,rozhodca.php?meno=Jurásné Miklósi Ivett&mesto=-
196,Tábori Ármin,-,rozhodca.php?meno=Tábori Ármin&mesto=-
197,Miklósi Ivett,Hajdúböszörmény,rozhodca.php?meno=Miklósi Ivett&mesto=Hajdúböszörmény
198,Barát Enikő,Szentes,rozhodca.php?meno=Barát Enikő&mesto=Szentes
199,Magera Nikoletta,Budapest,rozhodca.php?meno=Magera Nikoletta&mesto=Budapest
200,Kazimierz Kurzak,Lengyelország,rozhodca.php?meno=Kazimierz Kurzak&mesto=Lengyelország
201,Stefan Horváth,Szlovákia,rozhodca.php?meno=Stefan Horváth&mesto=Szlovákia
202,Jegesné Hornyák Hajnalka,Kaposvár,rozhodca.php?meno=Jegesné Hornyák Hajnalka&mesto=Kaposvár
203,Vass Zsolt,Budapest,rozhodca.php?meno=Vass Zsolt&mesto=Budapest
204,Balázs Márk,Érd,rozhodca.php?meno=Balázs Márk&mesto=Érd
205,Barbulszki Borisz Dr.,Budapest,rozhodca.php?meno=Barbulszki Borisz Dr.&mesto=Budapest
206,Andó Lórántné,Salgótarján,rozhodca.php?meno=Andó Lórántné&mesto=Salgótarján
207,Vladislav Silde,Oroszország,rozhodca.php?meno=Vladislav Silde&mesto=Oroszország
208,Török József dr.,Ostoros,rozhodca.php?meno=Török József dr.&mesto=Ostoros
209,Vozár Bolglárka,-,rozhodca.php?meno=Vozár Bolglárka&mesto=-
210,Stefán Horváth,Szlovákia,rozhodca.php?meno=Stefán Horváth&mesto=Szlovákia
211,Sándor Zoltán,-,rozhodca.php?meno=Sándor Zoltán&mesto=-
212,dr Borisz Barbulszki,Ráckeve,rozhodca.php?meno=dr Borisz Barbulszki&mesto=Ráckeve
213,Szilnerné Györe Judit,Székesfehérvár,rozhodca.php?meno=Szilnerné Györe Judit&mesto=Székesfehérvár
214,Havas Márta,Debrecen,rozhodca.php?meno=Havas Márta&mesto=Debrecen
215,Szatmári-Nagy Szilvia,Szentes,rozhodca.php?meno=Szatmári-Nagy Szilvia&mesto=Szentes
216,Vidovanyecz Andrea,Szeged,rozhodca.php?meno=Vidovanyecz Andrea&mesto=Szeged
217,Süttő-Tombácz Anikó,Miskolc,rozhodca.php?meno=Süttő-Tombácz Anikó&mesto=Miskolc
218,Faludyné Lovas Henriette,Szombathely,rozhodca.php?meno=Faludyné Lovas Henriette&mesto=Szombathely
219,Migács Nikolett,Sellye,rozhodca.php?meno=Migács Nikolett&mesto=Sellye
220,Balatincz Dóra,Kaposvár,rozhodca.php?meno=Balatincz Dóra&mesto=Kaposvár
221,Krautner Éva,Szigetvár,rozhodca.php?meno=Krautner Éva&mesto=Szigetvár
222,Mészárosné Karsai Eszter,Pécs,rozhodca.php?meno=Mészárosné Karsai Eszter&mesto=Pécs
223,Török József Dr.,Ostoros,rozhodca.php?meno=Török József Dr.&mesto=Ostoros
224,V. Nagy Rózsa,Budapest,rozhodca.php?meno=V. Nagy Rózsa&mesto=Budapest
225,Babenyecz Erika,Kiskőrös,rozhodca.php?meno=Babenyecz Erika&mesto=Kiskőrös
226,Balázs Erik,Dombovár,rozhodca.php?meno=Balázs Erik&mesto=Dombovár
227,Várhegyi István,Zsámbék,rozhodca.php?meno=Várhegyi István&mesto=Zsámbék
228,Tomás Tanka,Szlovákia,rozhodca.php?meno=Tomás Tanka&mesto=Szlovákia
229,Peter Ivanic,Szlovákia,rozhodca.php?meno=Peter Ivanic&mesto=Szlovákia
230,Petra Matschullat-Horn,Germany,rozhodca.php?meno=Petra Matschullat-Horn&mesto=Germany
231,Luca Bussoletti,Italy,rozhodca.php?meno=Luca Bussoletti&mesto=Italy
232,Valeria Mangra,Romania,rozhodca.php?meno=Valeria Mangra&mesto=Romania
233,Ron Hoorn,Netherlands,rozhodca.php?meno=Ron Hoorn&mesto=Netherlands
234,Antun Marki,Croatia,rozhodca.php?meno=Antun Marki&mesto=Croatia
235,Mirco D Agostino,Italy,rozhodca.php?meno=Mirco D Agostino&mesto=Italy
236,Liudmila Tsyrkun,Belarus,rozhodca.php?meno=Liudmila Tsyrkun&mesto=Belarus
237,Nagymihály Balázs,-,rozhodca.php?meno=Nagymihály Balázs&mesto=-
238,László Attila,Budapest,rozhodca.php?meno=László Attila&mesto=Budapest
239,dr. Kisteleki Károly,Budapest,rozhodca.php?meno=dr. Kisteleki Károly&mesto=Budapest
240,Vörös Péter,Budapest,rozhodca.php?meno=Vörös Péter&mesto=Budapest
241,Kurt Findhammer,-,rozhodca.php?meno=Kurt Findhammer&mesto=-
242,Karel Bank,Csehország,rozhodca.php?meno=Karel Bank&mesto=Csehország
243,Horváth  Zoltán,Maglód,rozhodca.php?meno=Horváth  Zoltán&mesto=Maglód
244,Kisteleki Károly dr.,Budapest,rozhodca.php?meno=Kisteleki Károly dr.&mesto=Budapest
245,Dr. Hetei Zoltán,Budapest,rozhodca.php?meno=Dr. Hetei Zoltán&mesto=Budapest
246,Vorobchenko Daria,Budapest,rozhodca.php?meno=Vorobchenko Daria&mesto=Budapest
247,Miroslav Balun,Slovakia,rozhodca.php?meno=Miroslav Balun&mesto=Slovakia
248,Larisa Davydova,Russian Federation,rozhodca.php?meno=Larisa Davydova&mesto=Russian Federation
249,Hendrik Heneke,Germany,rozhodca.php?meno=Hendrik Heneke&mesto=Germany
250,Giedrius Januskevicius,Lithuania,rozhodca.php?meno=Giedrius Januskevicius&mesto=Lithuania
251,Jaroslav Kucera,Czech Republic,rozhodca.php?meno=Jaroslav Kucera&mesto=Czech Republic
252,Judit Sandor,Hungary,rozhodca.php?meno=Judit Sandor&mesto=Hungary
253,Robert Wota,Poland,rozhodca.php?meno=Robert Wota&mesto=Poland
254,Szalkai-Szabó Gábor,Csongrád,rozhodca.php?meno=Szalkai-Szabó Gábor&mesto=Csongrád
255,Dr. Hetei Rajmond Zoltán,Budapest,rozhodca.php?meno=Dr. Hetei Rajmond Zoltán&mesto=Budapest
256,Páli Viktória,Szentes,rozhodca.php?meno=Páli Viktória&mesto=Szentes
257,Dr. Török Dániel,Pécs,rozhodca.php?meno=Dr. Török Dániel&mesto=Pécs
258,Pestality Bianka,Baja,rozhodca.php?meno=Pestality Bianka&mesto=Baja
259,Alexey Litvinov,Oroszország,rozhodca.php?meno=Alexey Litvinov&mesto=Oroszország
260,Frederic Mosa,Franciaország,rozhodca.php?meno=Frederic Mosa&mesto=Franciaország
261,Pietro Braga,Olaszország,rozhodca.php?meno=Pietro Braga&mesto=Olaszország
262,Virgil Grigore,Románia,rozhodca.php?meno=Virgil Grigore&mesto=Románia
263,Szabó Norbert,Debrecen,rozhodca.php?meno=Szabó Norbert&mesto=Debrecen
264,Süttő -Tombácz Anikó,Miskolc,rozhodca.php?meno=Süttő -Tombácz Anikó&mesto=Miskolc
265,Pavel Imre,-,rozhodca.php?meno=Pavel Imre&mesto=-
266,Simon Szucs,Hungary,rozhodca.php?meno=Simon Szucs&mesto=Hungary
267,Marco Pasqualini,Italy,rozhodca.php?meno=Marco Pasqualini&mesto=Italy
268,Dr Barbulszki Borisz,Ráckeve,rozhodca.php?meno=Dr Barbulszki Borisz&mesto=Ráckeve
269,Andrej Micunek,Szlovákia,rozhodca.php?meno=Andrej Micunek&mesto=Szlovákia
270,Holger Thomas Nitsche,Germany,rozhodca.php?meno=Holger Thomas Nitsche&mesto=Germany
271,Luca Baricchi,Italy,rozhodca.php?meno=Luca Baricchi&mesto=Italy
272,Cristian Parnescu,Romania,rozhodca.php?meno=Cristian Parnescu&mesto=Romania
273,Petr Horácek,Slovakia,rozhodca.php?meno=Petr Horácek&mesto=Slovakia
274,Marko Vodnik,Slovenia,rozhodca.php?meno=Marko Vodnik&mesto=Slovenia
275,Helmut Hanke,Austria,rozhodca.php?meno=Helmut Hanke&mesto=Austria
276,Sergej Milicija,Bosnia And Herzegovina,rozhodca.php?meno=Sergej Milicija&mesto=Bosnia And Herzegovina
277,Beatrix Lajtai,Hungary,rozhodca.php?meno=Beatrix Lajtai&mesto=Hungary
278,Judit Rimányi,Hungary,rozhodca.php?meno=Judit Rimányi&mesto=Hungary
279,Csaba Bíró,Hungary,rozhodca.php?meno=Csaba Bíró&mesto=Hungary
280,Faluvégi András Dr.,Fülöp,rozhodca.php?meno=Faluvégi András Dr.&mesto=Fülöp
281,Lidziya Kats-Lazarava,Belarus,rozhodca.php?meno=Lidziya Kats-Lazarava&mesto=Belarus
282,Zsuzsanna Zsilak,Hungary,rozhodca.php?meno=Zsuzsanna Zsilak&mesto=Hungary
283,Vorobchenco Darya,-,rozhodca.php?meno=Vorobchenco Darya&mesto=-
284,Paolo Santin,Olaszország,rozhodca.php?meno=Paolo Santin&mesto=Olaszország
285,Tímer Péter,Pécs,rozhodca.php?meno=Tímer Péter&mesto=Pécs
286,Borisz Barbulszki,Ráckeve,rozhodca.php?meno=Borisz Barbulszki&mesto=Ráckeve
