id,name,eventId
9837,Döntő,7249
9838,Elődöntő,7250
9839,Döntő,7250
9840,Döntő,7251
9841,Döntő,7252
9842,Döntő,7253
9843,Elődöntő,7254
9844,Döntő,7254
9845,Döntő,7255
9846,Döntő,7256
9847,Döntő,7257
9848,Elődöntő,7258
9849,Döntő,7258
9850,1.Forduló,7259
9851,Elődöntő,7259
9852,Döntő,7259
9853,Döntő,7261
9854,Elődöntő,7262
9855,Döntő,7262
9856,4.Forduló,7263
9857,Döntő,7264
9858,Elődöntő,7265
9859,Döntő,7265
9860,Döntő,7266
9861,Döntő,7267
9862,Döntő,7268
9863,Döntő,7269
9864,Döntő,7270
9865,1.Forduló,7271
9866,Elődöntő,7271
9867,Döntő,7271
9868,Döntő,7272
9869,Döntő,7273
9870,Elődöntő,7274
9871,Döntő,7274
9872,Döntő,7275
9873,Döntő,7276
9874,Elődöntő,7277
9875,Döntő,7277
9876,Döntő,7278
9877,Elődöntő,7279
9878,Döntő,7279
9879,Elődöntő,7280
9880,Döntő,7280
9881,Döntő,7281
9882,Döntő,7282
9883,Elődöntő,7283
9884,Döntő,7283
9885,Döntő,7284
9886,Elődöntő,7285
9887,Döntő,7285
9888,Elődöntő,7286
9889,Döntő,7286
9890,Döntő,7288
9891,Elődöntő,7289
9892,Döntő,7289
9893,Döntő,7290
9894,Döntő,7291
9895,Döntő,7292
9896,1.Forduló,7293
9897,Elődöntő,7293
9898,Döntő,7293
9899,Döntő,7294
9900,Döntő,7295
9901,4.Forduló,7296
9902,Döntő,7297
9903,Döntő,7298
9904,Döntő,7299
9905,Elődöntő,7300
9906,Döntő,7300
9907,Döntő,7301
9908,Elődöntő,7302
9909,Döntő,7302
9910,4.Forduló,7303
9911,Elődöntő,7304
9912,Döntő,7304
9913,Döntő,7305
9914,Döntő,7306
9915,Döntő,7307
9916,Döntő,7308
9917,Döntő,7309
9918,Döntő,7310
9919,5.Forduló,7312
9920,Döntő,7313
9921,Elődöntő,7314
9922,Döntő,7314
9923,Döntő,7316
9924,Döntő,7317
9925,Döntő,7318
9926,Döntő,7319
9927,Döntő,7320
9928,Döntő,7321
9929,1.Forduló,7322
9930,Elődöntő,7322
9931,Döntő,7322
9932,Elődöntő,7323
9933,Döntő,7323
9934,Döntő,7324
9935,Döntő,7325
9936,Döntő,7326
9937,Döntő,7327
9938,Elődöntő,7328
9939,Döntő,7328
9940,Döntő,7329
9941,Döntő,7330
9942,Döntő,7331
9943,Döntő,7332
9944,Döntő,7333
9945,Döntő,7334
9946,Elődöntő,7335
9947,Döntő,7335
9948,Döntő,7336
9949,Döntő,7337
9950,Elődöntő,7338
9951,Döntő,7338
9952,Döntő,7339
9953,Section 1,7340
9954,Döntő,7341
9955,Döntő,7342
9956,Döntő,7343
9957,Döntő,7344
9958,Elődöntő,7345
9959,Döntő,7345
9960,Döntő,7346
9961,Döntő,7347
9962,1.Forduló,7348
9963,Elődöntő,7348
9964,Döntő,7348
9965,1.Forduló,7349
9966,Elődöntő,7349
9967,Döntő,7349
9968,Döntő,7350
9969,Döntő,7351
9970,Döntő,7353
9971,1.Forduló,7354
9972,Elődöntő,7354
9973,Döntő,7354
9974,Döntő,7355
9975,Döntő,7356
9976,Döntő,7357
9977,Döntő,7358
9978,Elődöntő,7359
9979,Döntő,7359
9980,Döntő,7360
9981,Döntő,7361
9982,Elődöntő,7362
9983,Döntő,7362
9984,Döntő,7363
9985,Döntő,7364
9986,Döntő,7365
9987,Döntő,7366
9988,Döntő,7367
9989,Döntő,7368
9990,4.Forduló,7369
9991,Döntő,7370
9992,Döntő,7371
9993,Döntő,7372
9994,Elődöntő,7373
9995,Döntő,7373
9996,Elődöntő,7374
9997,Döntő,7374
9998,11.Forduló,7375
9999,Döntő,7376
10000,Döntő,7377
10001,Döntő,7378
10002,Elődöntő,7379
10003,Döntő,7379
10004,Döntő,7380
10005,Döntő,7381
10006,Döntő,7382
10007,Elődöntő,7383
10008,Döntő,7383
10009,Elődöntő,7384
10010,Döntő,7384
10011,Döntő,7385
10012,Elődöntő,7386
10013,Döntő,7386
10014,Döntő,7387
10015,Döntő,7388
10016,Döntő,7389
10017,Döntő,7390
10018,5.Forduló,7391
10019,Elődöntő,7392
10020,Döntő,7392
10021,Döntő,7393
10022,Döntő,7394
10023,Elődöntő,7395
10024,Döntő,7395
10025,Döntő,7396
10026,Döntő,7397
10027,Döntő,7398
10028,Döntő,7399
10029,Elődöntő,7400
10030,Döntő,7400
10031,Döntő,7401
10032,Döntő,7402
10033,Döntő,7403
10034,Döntő,7404
10035,1.Forduló,7406
10036,Elődöntő,7406
10037,Döntő,7406
10038,Elődöntő,7407
10039,Döntő,7407
10040,Elődöntő,7408
10041,Döntő,7408
10042,Section 1,7409
10043,Elődöntő,7410
10044,Döntő,7410
10045,Elődöntő,7411
10046,Döntő,7411
10047,Döntő,7413
10048,Döntő,7414
10049,Elődöntő,7415
10050,Döntő,7415
10051,Döntő,7416
10052,Döntő,7417
10053,Döntő,7418
10054,6.Forduló,7419
10055,Section 1,7421
10056,Elődöntő,7422
10057,Döntő,7422
10058,Elődöntő,7423
10059,Döntő,7423
10060,Section 1,7424
10061,Döntő,7425
10062,Döntő,7426
10063,Döntő,7427
10064,Döntő,7428
10065,Döntő,7429
10066,Döntő,7430
10067,Döntő,7431
10068,Döntő,7432
10069,Döntő,7433
10070,Elődöntő,7434
10071,Döntő,7434
10072,1.Forduló,7435
10073,2.Forduló,7435
10074,Elődöntő,7435
10075,Döntő,7435
10076,Döntő,7437
10077,Döntő,7438
10078,Section 1,7439
10079,Section 1,7440
10080,Döntő,7441
10081,Döntő,7442
10082,Döntő,7443
10083,Döntő,7444
10084,Döntő,7445
10085,Döntő,7446
10086,Elődöntő,7447
10087,Döntő,7447
10088,Elődöntő,7448
10089,Döntő,7448
10090,Döntő,7449
10091,Section 1,7450
10092,Döntő,7451
10093,Döntő,7452
10094,Elődöntő,7453
10095,Döntő,7453
10096,Elődöntő,7454
10097,Döntő,7454
10098,4.Forduló,7455
10099,1.Forduló,7456
10100,Elődöntő,7456
10101,Döntő,7456
10102,Elődöntő,7457
10103,Döntő,7457
10104,Döntő,7458
10105,Döntő,7459
10106,6.Forduló,7460
10107,Elődöntő,7461
10108,Döntő,7461
