id,title,date,location
8356,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - Gyermek II E Standard 2023.04.16",2023.04.16,"1213 Budapest, Hollandi út 8"
8357,"II. Pro-Art Grand Prix U21 Standard MB - Gyerek II. ""E"" Standard 2014.09.13",2014.09.13,Kistelek
8358,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - OB Junior II B Tíztánc 2016.04.02,2016.04.02,Szekszárd
8359,SAVARIA Nemzetközi Táncverseny - Szóló Gyermek I. E LAT 2024.12.14,2024.12.14,"9700 Szombathely, Rohonci út 3"
8360,XXIV.Zánkai Táncfesztivál - Felnőtt E Standard 2018.08.18,2018.08.18,Zánka
8361,-  0000.00.00,0000.00.00,
8362,XVI. FEKETE SAS KUPA - Junior I D LAT 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
8363,XV. Fekete Sas kupa - Gyermek II D Standard 2020.10.31,2020.10.31,"6800 Hódmezővásárhely, Kossuth tér 3"
8364,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior II D LAT 2016.04.02,2016.04.02,Szekszárd
8365,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - OB Senior II Open Tíztánc 2023.04.16",2023.04.16,"1213 Budapest, Hollandi út 8"
8366,XIV. Hatvan Kupa - Junior I D Standard 2022.05.07,2022.05.07,"3000. Hatvan, Balassi Bálint út 2"
8367,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági D LAT 2015.03.07,2015.03.07,Nyíradony
8368,"Felnőtt-Ifjúsági Standard, Junior Latin, Senior Tíztánc Ranglista és Klubközi Táncverseny - Felnőtt B LAT 2017.10.07",2017.10.07,Hajdúböszörmény
8369,XXII. ZÁNKAI TÁNCFESZTIVÁL - Ifjúsági E LAT 2016.08.26,2016.08.26,Zánka
8370,12. Danza Kupa - Junior I D Nyolctánc 2020.03.01,2020.03.01,"1044 Budapest, Megyeri út 6"
8371,Kelet-Magyarország Területi Bajnokság - Ifjúsági - B LAT 2014.02.22,2014.02.22,Nyíradony
8372,MTÁSZ Pest-megyei Régió Bajnokság - TB Junior I D Standard 2016.03.12,2016.03.12,Csömör
8373,35. Bem kupa - Junior II E LAT 2024.09.28,2024.09.28,"Zrínyi Miklós Gimnázium Budapest, Mádi u. 173"
8374,30. Bem kupa - Junior II D Standard 2019.05.12,2019.05.12,Budapest
8375,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Verseny - Junior I D Standard 2017.04.23",2017.04.23,Székesfehérvár
8376,XI. Eraklin Kupa- D Országos Bajnokság - OB Junior II D LAT 2022.10.08,2022.10.08,"8800 Nagykanizsa, Táborhely u. 4"
8377,ParaDance Magyar Bajnokság - Freestyle Duó Magyar Bajnokság 2021.06.20,2021.06.20,"2141.Csömör, Major út 7-9"
8378,VI. Eraklin Kupa - Senior II D LAT 2016.11.19,2016.11.19,Nagykanizsa
8379,Balaton Summer Táncverseny - Felnõtt C LAT 2021.08.15,2021.08.15,"Marcali, Park u. 16"
8380,Nyugat-Magyarország TB - TB Ifjúsági C LAT 2025.03.01,2025.03.01,7400 Kaposvár Aréna Arany János utca 97
8381,-  0000.00.00,0000.00.00,
8382,Nyugat-Magyarország Területi Bajnokság - TB Junior II D Standard 2017.03.18,2017.03.18,Kaposmérő
8383,"II. Szoldance Kupa, Hattánc-Nyolctánc OB, Felnőtt- Ifjúsági Latin Ranglista - Junior I D LAT 2024.02.10",2024.02.10,"5000 Szolnok, Hild János tér 1"
8384,Ritmo Kupa - Felnőtt E LAT 2024.11.09,2024.11.09,"7624 Pécs, Ifjúság útja 6"
8385,XII. Hatvan Kupa - Felnőtt D STT 2020.08.30,2020.08.30,"3000.Hatvan, Balassi Bálint út 2"
8386,XIV. Ritmo Kupa Klubközi és Szabadidős Táncverseny - Junior I. latin középhaladó 2018.09.29,2018.09.29,Pécs
8387,"VI. Kner Kupa C és B Tíztánc OB és Klubközi Táncverseny - Junior II. ""C"" Tíztánc OB 2014.04.05",2014.04.05,Mezőtúr
8388,-  0000.00.00,0000.00.00,
8389,"Tíztánc MB, Nyolctánc MB - Magyar bajnokság Senior IV Tíztánc 2021.05.22",2021.05.22,6600 Szentes Jövendő utca 1
8390,-  0000.00.00,0000.00.00,
8391,"Senior-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Profi Latin RL és Klubközi verseny - Gyermek II D LAT 2024.06.01",2024.06.01,"6640 Csongrád, Gyöngyvirág u. 16/A"
8392,X. Kner Kupa - klubközi táncverseny - Felnőtt C LAT 2018.04.29,2018.04.29,Mezőtúr
8393,Forma Kupa - D Országos Bajnokság - OB Ifjúsági D Standard 2021.10.02,2021.10.02,"6727 Szeged, Acél u 10"
8394,II. Danza Kupa - Basic LAT Single Dance cha-cha-cha 2014.10.11,2014.10.11,Budapest
8395,"XV. Zala Open Formációs és Kűr MB, Nemzetközi Formációs Verseny és Szabadidősport Kupa - Formáció Junior Lányformáció LAT 2023.10.14",2023.10.14,"8900 Zalaegerszeg, Stadion u. 3"
8396,"Felnőtt-ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzionista Latin Ranglista verseny - Junior I D LAT 2018.02.24",2018.02.24,Algyő
8397,Savaria Kupa Klubközi Táncverseny - FLN-C-LAT 2019.06.08,2019.06.08,"9700, Szombathely Március 15 tér 5"
8398,IV. Danza Kupa - Senior I C LAT 2015.10.18,2015.10.18,Budapest
8399,-  0000.00.00,0000.00.00,
8400,Ametiszt Kupa - Junior II D LAT 2022.10.29,2022.10.29,7400 Kaposvár Arany János út 97
8401,DanceNet Kupa - Szóló Ifjúsági E Standard 2025.01.25,2025.01.25,"Csömöri Sportcsarnok,Csömör, Major út 7-9"
8402,Hungarian Open - Gyermek II E LAT 2017.11.11,2017.11.11,Budapest
8403,11. Danza Kupa - Ifjúsági B Standard 2019.04.06,2019.04.06,Budapest
8404,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági E Standard 2024.03.02,2024.03.02,"5440 Kunszentmárton, Kossuth Lajos utca 40"
8405,"VIII. FORMA KUPA C Osztályos Országos Bajnokság - Junior I. ""E"" LAT 2014.12.06",2014.12.06,Algyő
8406,"Tíztánc Magyar Bajnokság, Nyolctánc Magyar Bajnokság - Ifjúsági B LAT 2023.03.18",2023.03.18,"9700 Szombathely, Március 15 tér 5"
8407,XX. Lászlóvill Kupa - Ifjúsági C LAT 2022.05.21,2022.05.21,"Székesfehérvár, Verseci u. 1-15"
8408,"ISIS DANCE OPEN: Felnőtt-Ifjúsági Tíztánc ranglista, Junior Standard ranglista - Junior I D LAT 2015.10.17",2015.10.17,Szombathely
8409,33. Bem kupa - Junior I E LAT 2022.10.16,2022.10.16,"1108 Budapest, Mádi u. 173"
8410,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - Szóló Senior E LAT 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
8411,"VIII. FORMA KUPA C Osztályos Országos Bajnokság - Felnőtt ""B"" Standard 2014.12.06",2014.12.06,Algyő
8412,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Gyermek I D 8T - ORSZÁGOS BAJNOKSÁG 2018.02.17",2018.02.17,Kozármisleny
8413,I. Fonyód Kupa - Senior III E Standard 2015.06.07,2015.06.07,Fonyód
8414,Kelet-Magyarország Területi Bajnokság - Formáció Ifjúsági Formáció Lány LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
8415,RITMO KUPA - Szóló Ifjúsági E LAT 2022.06.04,2022.06.04,"7761 Kozármisleny, Alkotmány tér 53"
8416,Kelet-Magyarország TB - TB Junior I E Standard 2025.03.01,2025.03.01,"Kunszentmárton, Kossuth Lajos utca 40"
8417,"XI FORMA kupa D országos Bajnokság, U 21 Tíztánc Magyar Bajnoksága - Felnőtt C Standard 2017.10.14",2017.10.14,Algyő
8418,Nyugat-Magyarország Területi Bajnokság - TB Gyermek I E LAT 2024.03.02,2024.03.02,Kaposvár Aréna 7400 Kaposvár Arany János utca 97
8419,"VILÁGTÁNCFESZTIVÁL - FELNŐTT-IFJÚSÁGI LATIN, JUNIOR STANDARD, SENIOR LATIN, PROFESSZIONISTA STANDARD RANGLISTAVERSENY, KLUBKÖZI TÁNCVERSENYEK - Junior II D LAT 2018.05.05",2018.05.05,Budapest
8420,Nyugat- Magyarország Területi Bajnokság - Felnőtt B LAT 2022.02.19,2022.02.19,7400 Kaposvár Arany János út 97
8421,"XIII. Eraklin Kupa- D Országos Bajnokság, Cséplő Dániel Emlékkupa - Ifjúsági B LAT 2024.10.05",2024.10.05,"8800 Nagykanizsa, Táborhely u. 4"
8422,"XV. Kistelek Open, Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista és Klubközi Verseny - Gyermek II D Standard 2018.09.23",2018.09.23,Kistelek
8423,-  0000.00.00,0000.00.00,
8424,XIII. FEKETE SAS KUPA - Felnőtt C LAT 2018.11.18,2018.11.18,Hódmezővásárhely
8425,"Botafogo Kupa, U21 STT, LAT és  Kűr Magyar Bajnokságok - Felnőtt D Standard 2024.04.28",2024.04.28,"1213 Budapest, Hollandi út 8"
8426,X. Hatvan Kupa - Felnőtt E Standard 2018.05.06,2018.05.06,Hatvan
8427,"Felnőtt-Ifjúsági Tíztánc, Junior Standard és Hivatásos Ranglista - Junior II. - Haladó - Standard 2014.03.08",2014.03.08,Szolnok
8428,"SZIGO Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin Ranglistaverseny - RL Senior LAT 2018.11.25",2018.11.25,Pécs
8429,-  0000.00.00,0000.00.00,
8430,"B-A-S, Senior Open OB, III.Nyíri Lajos Emlékverseny - OB Senior IV Open Standard 2019.12.08",2019.12.08,"5600 Békéscsaba, Széchenyi utca 4"
8431,"Botafogo Kupa, Országos Ranglista és klubközi táncversenyek - Szóló Junior II. E LAT 2024.04.27",2024.04.27,"1213 Budapest, Hollandi út 8"
8432,PHOENIX CUP - OPEN LAT YOUTH 2018.05.13,2018.05.13,Debrecen
8433,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Táncverseny - Felnőtt-Ifjúsági Standard Ranglista  2016.05.07",2016.05.07,Székesfehérvár
8434,"""D"" OB és Klubközi Táncverseny - Junior I E LAT 2020.09.19",2020.09.19,"7761 Kozármisleny, Alkotmány tér 53"
8435,"E OB, U21 tíztánc MB és klubközi táncverseny - Junior I D LAT 2021.09.11",2021.09.11,"7761 Kozármisleny, Alkotmány tér 53"
8436,Zala Open Formációs Magyar Bajnokság - Formáció Junior Kis csapat LAT 2024.10.19,2024.10.19,"8900 Zalaegerszeg, Stadion u. 3"
8437,V. FULLDANCE KUPA - Junior II D LAT 2018.09.08,2018.09.08,Tápiószentmárton
8438,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - OB Gyermek II D 8T 2016.03.06",2016.03.06,Komló
8439,Kelet-Magyarország Területi Bajnokság - Szóló Felnőtt Open LAT 2022.02.19,2022.02.19,"4060 Balmazújváros, Kastélykert utca 2"
8440,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság és Klubközi Verseny - Senior I D Nyolctánc Országos Bajnokság 2015.03.28",2015.03.28,Szekszárd
8441,III. Fonyód Kupa - Gyermek II D LAT 2017.06.11,2017.06.11,Fonyód
8442,Kelet-Magyarország TB - TB Ifjúsági E LAT 2025.03.01,2025.03.01,"Kunszentmárton, Kossuth Lajos utca 40"
8443,9. Danza Kupa Újpest - Ifjúsági D LAT 2017.10.15,2017.10.15,Budapest
8444,Nyugat-Magyarország Területi Bajnokság - TB Junior I C Standard 2024.03.02,2024.03.02,Kaposvár Aréna 7400 Kaposvár Arany János utca 97
8445,XIII. Ritmo Kupa - Junior I C Standard 2016.10.09,2016.10.09,Mohács
8446,Hungarian Dance Open 2017-1 - INTERNATIONAL OPEN STANDARD ADULT 2017.02.18,2017.02.18,Szigetszentmiklós
8447,I. Gyulai Táncfesztivál - GY2-BASIC-LAT 2019.07.21,2019.07.21,Prohászka Zsolt Városi Tornacsarnok
8448,Szőke Tisza 2015 - Ifjúsági D Standard 2015.06.20,2015.06.20,Szeged
8449,Közép-Magyarország Területi Bajnokság - Szóló Gyermek II. Kezdő LAT 2023.02.26,2023.02.26,"Csömör, Major út 7-9"
8450,Balaton Summer Táncverseny - Szóló Felnőtt E LAT 2022.08.12,2022.08.12,"8700 Marcali, Park utca 16"
8451,XII. Eraklin Kupa- D Országos Bajnokság - OB Junior II D LAT 2023.10.07,2023.10.07,"8800 Nagykanizsa, Táborhely u. 4"
8452,TáncSport Magyar Bajnokságok 2018 - Kerekesszékes MB Freestyle Duó I 2018.02.04,2018.02.04,Szigetszentmiklós
8453,26. Bem kupa - Gyermek II D LAT 2017.04.29,2017.04.29,Mogyoród
8454,XI. Ametiszt kupa - Junior I E LAT 2015.10.10,2015.10.10,Kaposmérő
8455,VIII. Kner Kupa- C és B Tíztánc OB és Klubközi Táncverseny - Szabadidősport Junior II. LAT 2015.04.11,2015.04.11,Mezőtúr
8456,XI. Eraklin Kupa- D Országos Bajnokság - Szóló Ifjúsági D LAT 2022.10.08,2022.10.08,"8800 Nagykanizsa, Táborhely u. 4"
8457,"XV. Zala Open Formációs és Kűr MB, Nemzetközi Formációs Verseny és Szabadidősport Kupa - Formáció Felnőtt A Liga LAT 2023.10.14",2023.10.14,"8900 Zalaegerszeg, Stadion u. 3"
8458,"IX. Gemenc Kupa - Ifjúsági ""C"" LAT 2014.11.09",2014.11.09,Tolna
8459,Nyugat- Magyarország Területi Bajnokság - TB Senior II E LAT 2023.02.25,2023.02.25,7400 Kaposvár Arany János út 97
8460,"Botafogo Kupa U21 standard MB, U21 latin MB, Kűr MB - Ifjúsági E LAT 2022.05.14",2022.05.14,"1213 Budapest, Hollandi út 8"
8461,I. Érdi Kupa - Szóló Gyermek II. Közép-Haladó LAT 2025.02.02,2025.02.02,"ÉRD Aréna, 2030. Érd, Velencei út 39-41"
8462,XVIII. Gála Kupa - Gyermek I D LAT 2017.10.29,2017.10.29,Zalaegerszeg
8463,Közép-Magyarország Területi Bajnokság - TB Gyermek II D Standard 2024.03.03,2024.03.03,"Csömör, Major út 7-9"
8464,"V. Eraklin Kupa, E Országos Bajnokság, U21 Tíztánc Magyar Bajnokság - OB Gyermek II E Standard 2015.10.24",2015.10.24,Nagykanizsa
8465,XI. Kner Kupa- Klubközi és Szabadidősport Táncverseny - Felnőtt D LAT 2019.03.24,2019.03.24,Mezőtúr
8466,XVI. RexTerra Kupa - Gyermek II D LAT 2022.11.12,2022.11.12,6400 Kossuth utca 23
8467,Balaton Summer Táncverseny - Ifjúsági E Standard 2022.08.13,2022.08.13,"8700 Marcali, Park utca 16"
8468,"XXIV. Gála Kupa,U21 Standard és Latin Magyar Bajnokság - Junior II E Standard 2023.10.15",2023.10.15,Zalakerámia Sport-és Rendezvénycsarnok
8469,Kelet-Magyarország Területi Bajnokság - TB Gyermek II C LAT 2018.03.03,2018.03.03,Szentes
8470,"E hattánc Országos Bajnokság, D nyolctánc Országos Bajnokság és klubközi versenyek - Felnőtt B LAT 2017.03.04",2017.03.04,Baja
8471,XXV. Gála Kupa - Junior I E LAT 2024.10.20,2024.10.20,"8900 Zalaegerszeg, Stadion u. 3"
8472,TáncSport Magyar Bajnokság 2021 - Hungarian Dance Open - MB Felnőtt  LAT 2021.09.25,2021.09.25,"9700 Szombathely, Március 15. tér 5"
8473,29. Bem kupa - Felnőtt E LAT 2018.12.09,2018.12.09,Mogyoród
8474,Balaton Summer Táncverseny - Ifjúsági D Standard 2024.08.08,2024.08.08,"8700 Marcali, Park utca 16"
8475,"XIX.Gála Kupa Felnőtt-Ifjúsági Standard,Junior Latin,Senior Standard Ranglistaverseny és Klubközi Táncverseny - Ifjúsági D LAT 2018.04.22",2018.04.22,Zalaegerszeg
8476,IV. Sundance Kupa E hattánc D Nyolctánc OB - Felnőtt C Standard 2021.05.08,2021.05.08,6440 Jánoshalma Bernáth Zoltán utca 1
8477,12. Danza Kupa - Felnőtt C Tíztánc 2020.03.01,2020.03.01,"1044 Budapest, Megyeri út 6"
8478,Közép-Magyarország Területi Bajnokság - Junior II D Standard 2022.02.20,2022.02.20,"Csömör, Major út 7-9"
8479,II. Cséplő Dániel Emlékverseny - Junior I. Kezdő Standard 2014.09.21,2014.09.21,Nagykanizsa
8480,Ritmo Kupa - Ifjúsági E Standard 2024.11.09,2024.11.09,"7624 Pécs, Ifjúság útja 6"
8481,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Táncverseny - Felnőtt E LAT 2016.05.07",2016.05.07,Székesfehérvár
8482,II. Sundance Kupa - D Országos Bajnokság - Ifjúsági E LAT 2018.10.06,2018.10.06,Baja
8483,"II. Salgótarjáni Havanna Kupa - Felnőtt ""C"" LAT 2014.04.19",2014.04.19,Salgótarján
8484,"E OB, U21 Tíztánc MB és Klubközi Verseny - OB Gyermek I E LAT 2022.09.10",2022.09.10,"Csömör, Major út 7-9"
8485,VII. Eraklin Kupa - Senior I-II D LAT 2017.12.09,2017.12.09,Nagykanizsa
8486,XXI. Zánkai Táncfesztivál - Ifjúsági D Standard 2015.08.26,2015.08.26,Zánka
8487,Nyugat-Magyarország Területi Bajnokság - TB Ifjúsági B Standard 2017.03.18,2017.03.18,Kaposmérő
8488,C és B Tíztánc OB és klubközi Táncverseny - Gyermek I E LAT 2021.08.21,2021.08.21,7400 Kaposvár Arany János út 97
8489,Nyugat-Magyarország TB - TB Junior II E Standard 2025.03.01,2025.03.01,7400 Kaposvár Aréna Arany János utca 97
8490,Budapesti Területi Bajnokság - TB Senior II D LAT 2019.03.02,2019.03.02,Csömör
8491,"Felnőtt -Ifjúsági Latin, Junior Standard, Senior Latin Ranglista és Klubközi Táncverseny - Ifjúsági D LAT 2015.06.06",2015.06.06,Hajdúböszörmény
8492,Danza Táncsport Egyesület - Junior II D LAT 2019.10.12,2019.10.12,Budapest
8493,DanceNet Kupa - Ifjúsági C LAT 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
8494,III. Danza Kupa - Felnőtt B Standard 2015.04.19,2015.04.19,Budapest
8495,XVII. Gála Kupa - Junior I E Standard 2016.11.06,2016.11.06,Zalaegerszeg
8496,"Felnőtt-Ifjúsági Latin, Junior Standard, Senior Latin és Profi Standard Ranglista - Junior II E Standard 2019.04.27",2019.04.27,Algyő
8497,TáncSport Magyar Bajnokságok 2014 - Junior I. Standard Magyar Bajn 2014.02.01,2014.02.01,Budapest
8498,II. Spirit Kupa WDSF Felnőtt Latin Világkupa - Felnőtt C STT 2022.04.02,2022.04.02,"Kiskunmajsa Aréna, 6120 Kiskunmajsa, Iskola utca 1"
8499,MTÁSZ Pest-megyei Régió Bajnokság - TB Senior III D Standard 2016.03.12,2016.03.12,Csömör
8500,C Országos Bajnokság - Junior II E Standard 2018.11.17,2018.11.17,Pécs
8501,iDanceFesztivál2015 - Felnőtt C Standard 2015.11.15,2015.11.15,Pécs
8502,"Közép-Magyarország TerületiBajnokság, Kerekesszékes MB -  Ifjúsági B Standard 2020.03.07",2020.03.07,"2141.Csömör, Major út 7-9"
8503,V. Sundance Kupa C és B Tíztánc OB - Gyermek II E Standard 2024.04.06,2024.04.06,"6500 Baja, Duna utca 33"
8504,ISIS DANCE OPEN - Felnőtt C LAT 2021.10.23,2021.10.23,"Szombathely, Március 15.tér 5"
8505,TáncSport Magyar Bajnokságok - OPEN STANDARD YOUTH 2015.02.07,2015.02.07,Szigetszentmiklós
8506,MTÁSZ E Országos Bajnokság és Klubközi Verseny - Junior I D LAT 2017.09.30,2017.09.30,Csömör
8507,II. Fonyód Kupa - Gyermek I-II E Standard 2016.06.12,2016.06.12,Fonyód
8508,"U21 standard MB, U21 latin MB, Kűr MB - Kűr MB Felnőtt  LAT 2020.09.26",2020.09.26,"1213 Budapest, Hollandi út 8"
8509,Nyugat- Magyarország Területi Bajnokság -  Ifjúsági C Standard 2020.03.07,2020.03.07,7400 Kaposvár Arany János út 97
8510,Mecsek Kupa - Tánciskolás Verseny - Junior I. (Lány-Lány) Kezdő LAT 2014.05.18,2014.05.18,Pécs
8511,IV. Press Dance Táncverseny - Gyermek II E LAT 2016.03.14,2016.03.14,Zalaegerszeg
8512,Kelet-Magyarország Területi Bajnokság - Junior I D STT 2021.03.06,2021.03.06,5440 Kunszentmárton Kossuth út 40
8513,Nyugat-Magyarország Területi Bajnokság - TB Senior I E STT 2015.03.07,2015.03.07,Kaposvár
8514,XXIII.Zánkai Táncfesztivál (2017) - Junior II E LAT 2017.08.20,2017.08.20,Zánka
8515,10. Danza Kupa - Junior II-Ifjúsági B LAT 2018.06.09,2018.06.09,Budapest
8516,XIII. Kistelek Open - Felnőtt Standard Ranglista 2016.09.24,2016.09.24,Kistelek
8517,"FLN IFI SEN Latin, JUN Standard, Profi Standard Ranglista és Klubközi táncverseny - Junior I C Standard 2021.06.05",2021.06.05,4080 Hajdúnánás Hunyadi u. 9
8518,Közép-Magyarország TB - Szóló Gyermek II. Kezdő LAT 2025.03.02,2025.03.02,"Csömöri Sportcsarnok,Csömör, Major út 7-9"
8519,"ISIS DANCE OPEN-Felnőtt-Ifjúsági-Senior Tíztánc, Junior Standard,  Professional Latin - Junior II D LAT 2019.10.19",2019.10.19,"Szombathely, AGORA Művelődési és Sportház"
8520,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Gyermek II E LAT 2017.03.25",2017.03.25,Szentlőrinc
8521,"Felnőtt és Ifjúsági Tíztánc, Junior Latin, Senior Tíztánc és Profi Standard Ranglista - Ifjúsági C Standard 2019.09.21",2019.09.21,Százhalombatta
8522,XVI. Gála Kupa Klubközi Verseny - Ifjúsági E Standard 2015.09.13,2015.09.13,Zalaegerszeg
8523,"Pro-Art Kistelek Kupa, Felnőtt Ifjúsági Latin, Junior Tíztánc, Senior Latin, Profi Standard Ranglista - Gyermek II D LAT 2019.03.09",2019.03.09,Kistelek
8524,"X. Forma Kupa és C Országos Bajnokság,U21 Standard és Latin Magyar Bajnokság - Ifjúsági B Standard 2016.12.03",2016.12.03,Algyő
8525,MTÁSZ Pest-megyei Régió Bajnokság - TB Senior III D Standard 2018.03.03,2018.03.03,Csömör
8526,XI. Ametiszt kupa - Gyerek II. Kezdő latin 2015.10.10,2015.10.10,Kaposmérő
8527,"SZIGO Kupa Felnőtt-Ifjúsági standard, Junior latin, Senior standard - Ifjúsági C LAT 2019.04.13",2019.04.13,Siklós
8528,ISIS Dance - Gyermek II D Standard 2022.10.22,2022.10.22,"9700 Szombathely, Március 15. tér 5"
8529,-  0000.00.00,0000.00.00,
8530,34. Bem kupa - Felnőtt B Standard 2023.10.01,2023.10.01,"1108 Budapest, Mádi u. 173"
8531,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Junior I E Standard 2018.02.17",2018.02.17,Kozármisleny
8532,Budapest Bajnokság - TB Junior II B LAT 2017.03.18,2017.03.18,Budapest
8533,I. Fonyód Kupa - Junior I C LAT 2015.06.07,2015.06.07,Fonyód
8534,Közép-Magyarország Területi Bajnokság - TB Ifjúsági D Standard 2023.02.26,2023.02.26,"Csömör, Major út 7-9"
8535,Szőke Tisza 2022 - Junior II D LAT 2022.06.12,2022.06.12,Szeged. Városi Sportcsarnok
8536,Kelet-Magyarország TB - TB Senior IV D LAT 2025.03.01,2025.03.01,"Kunszentmárton, Kossuth Lajos utca 40"
8537,"XI FORMA kupa D országos Bajnokság, U 21 Tíztánc Magyar Bajnoksága - OB Senior I D Standard 2017.10.14",2017.10.14,Algyő
8538,Nyugat-Magyarország Területi Bajnokság - Szóló Junior I. E Standard 2024.03.02,2024.03.02,Kaposvár Aréna 7400 Kaposvár Arany János utca 97
8539,"FLN IFI SEN Latin, JUN Standard, Profi Standard Ranglista és Klubközi táncverseny - Felnőtt E Standard 2021.06.05",2021.06.05,4080 Hajdúnánás Hunyadi u. 9
8540,XIV. Ametiszt Kupa - Felnõtt B STT 2019.11.23,2019.11.23,7400 Kaposvár Arany János út 97
8541,Nyugat- Magyarország Területi Bajnokság - Ifjúsági E Standard 2022.02.19,2022.02.19,7400 Kaposvár Arany János út 97
8542,X. Eraklin kupa - Junior II E Standard 2021.10.16,2021.10.16,"8800 Nagykanizsa, Hunyadi u. 18"
8543,-  0000.00.00,0000.00.00,
8544,"XIII. Eraklin Kupa- D Országos Bajnokság, Cséplő Dániel Emlékkupa - OB Senior I D Standard 2024.10.05",2024.10.05,"8800 Nagykanizsa, Táborhely u. 4"
8545,"Felnőtt- Ifjúsági Latin, Junior Standard, Professzionista Standard Ranglistaverseny - Junior II D Standard 2016.06.04",2016.06.04,Szentes
8546,"MTÁSZ E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság és Klubközi Verseny - OB Senior III E Standard 2018.09.15",2018.09.15,Csömör
8547,Szőke Tisza 2021  WDSF International OPEN Nemzetközi Táncverseny - Ifjúsági C LAT 2021.08.29,2021.08.29,Papiron Szeged Versenytáncklub Egyesület
8548,XIII. FEKETE SAS KUPA - Junior I E Standard 2018.11.18,2018.11.18,Hódmezővásárhely
8549,"Botafogo Kupa, U21 STT, LAT és  Kűr Magyar Bajnokságok - Szóló Felnőtt E LAT 2024.04.28",2024.04.28,"1213 Budapest, Hollandi út 8"
8550,"VILÁGTÁNCFESZTIVÁL - FELNŐTT-IFJÚSÁGI LATIN, JUNIOR STANDARD, SENIOR LATIN, PROFESSZIONISTA STANDARD RANGLISTAVERSENY, KLUBKÖZI TÁNCVERSENYEK - Felnőtt C LAT 2018.05.05",2018.05.05,Budapest
8551,XVIII RexTerra Kupa - Felnőtt E LAT 2024.11.16,2024.11.16,Kiskunhalas Kosssuth 23
8552,XIV. Ritmo Kupa Klubközi és Szabadidős Táncverseny - Ifjúsági B LAT 2018.09.29,2018.09.29,Pécs
8553,XII. Hatvan Kupa - Junior II E LAT 2020.08.30,2020.08.30,"3000.Hatvan, Balassi Bálint út 2"
8554,"VIII. Gemenc Kupa E 6Tánc, D 8Tánc OB és U21 Tíztánc Magyar Bajnokság - Gyerek I. ""E"" Hattánc 2014.03.29",2014.03.29,Tolna
8555,-  0000.00.00,0000.00.00,
8556,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság, II. Nyíri Lajos Emlékverseny - OB Senior III Open LAT 2018.12.15",2018.12.15,Békéscsaba
8557,77. DanceNet Kupa - Junior I E LAT 2021.05.29,2021.05.29,"2141. Csömör, Major út 7-9"
8558,-  0000.00.00,0000.00.00,
8559,"Senior-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Profi Latin RL és Klubközi verseny - Senior II C LAT 2024.06.01",2024.06.01,"6640 Csongrád, Gyöngyvirág u. 16/A"
8560,X. Kner Kupa - klubközi táncverseny - Junior I D Standard 2018.04.29,2018.04.29,Mezőtúr
8561,Kelet-Magyarország Területi Bajnokság - TB Junior I D STT 2020.03.07,2020.03.07,Algyői Fehér Ignác Általános Iskola Sportcsarnoka
8562,X. Eraklin kupa - Felnőtt E LAT 2021.10.16,2021.10.16,"8800 Nagykanizsa, Hunyadi u. 18"
8563,II. Tenkes Kupa - Ifjúsági-Felnőtt Kezdő LAT 2014.10.11,2014.10.11,Siklós
8564,"Ametiszt Kupa és Senior-Felnőtt-Ifjúsági tíztánc, Junior latin, Profi standard RL - RL Junior  LAT 2023.10.28",2023.10.28,Kaposvár Városi Sportcsarnok
8565,Savaria Kupa Klubközi Táncverseny - JN2-E-LAT 2019.06.08,2019.06.08,"9700, Szombathely Március 15 tér 5"
