id,title,date,location
1609,I. Nyíri Lajos Emlékverseny és U21 Tíztánc Magyar Bajnokság - Gyermek II D LAT 2016.12.11,2016.12.11,Békéscsaba
1610,Szőke Tisza 2022 - Gyermek II E LAT 2022.06.12,2022.06.12,Szeged. Városi Sportcsarnok
1611,Nyugat-Magyarország Területi Bajnokság - Szóló Felnőtt C LAT 2024.03.02,2024.03.02,Kaposvár Aréna 7400 Kaposvár Arany János utca 97
1612,"Pro-Art Kistelek Kupa, Felnőtt Ifjúsági Latin, Junior Tíztánc, Senior Latin, Profi Standard Ranglista - Ifjúsági B Standard 2019.03.09",2019.03.09,Kistelek
1613,9. Danza Kupa Újpest - Junior I C Standard 2017.10.15,2017.10.15,Budapest
1614,XII Ametiszt Kupa - Felnőtt B LAT 2016.10.16,2016.10.16,Kaposvár
1615,IX. Hatvan Kupa - Gyermek II-Junior I E Standard 2017.05.06,2017.05.06,Hatvan
1616,Hungarian Open - Ifjúsági B LAT 2017.11.11,2017.11.11,Budapest
1617,Lászlóvill Kupa - Junior Standard Ranglista 2015.04.18,2015.04.18,Székesfehérvár
1618,30. Bem kupa 2 - F-D-STT 2019.05.12,2019.05.12,Budapest
1619,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Ifjúsági D 8T - ORSZÁGOS BAJNOKSÁG 2018.02.17",2018.02.17,Kozármisleny
1620,"VIII. FORMA KUPA C Osztályos Országos Bajnokság - Ifjúsági ""C"" Standard OB 2014.12.06",2014.12.06,Algyő
1621,56. Savaria Nemzetközi Táncverseny - Ifjúsági E LAT 2023.09.23,2023.09.23,"9700 Szombathely, Március 15. tér 5"
1622,"Tíztánc-, Nyolctánc Magyar Bajnokságok - Szóló Junior II. D LAT 2025.03.08",2025.03.08,Kiskunmajsa Aréna
1623,"ISIS DANCE OPEN: Felnőtt-Ifjúsági Tíztánc ranglista, Junior Standard ranglista - Junior I. Haladó LAT 2015.10.17",2015.10.17,Szombathely
1624,11. Danza Kupa - Junior II C LAT 2019.04.06,2019.04.06,Budapest
1625,Budapest Open - Junior II E Standard 2018.02.18,2018.02.18,Budapest
1626,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági C LAT 2017.03.18,2017.03.18,Szentes
1627,XI. Hatvan Kupa - JN1-E-LAT 2019.06.02,2019.06.02,"3000. Hatvan, Balassi Bálint út 2."
1628,MTÁSZ E Országos Bajnokság és Klubközi Verseny - OB Senior II E LAT 2016.10.01,2016.10.01,Csömör
1629,"Felnőtt-Ifjúsági Latin, Junior Standard Ranglista , Senior Latin Ranglista - Felnőtt C LAT 2017.05.14",2017.05.14,Debrecen
1630,Euroline Kupa Országos Ranglista Táncverseny - Gyermek II D Standard 2015.03.14,2015.03.14,Szolnok
1631,XIV. Fekete Sas Kupa - Ifjúsági D LAT 2019.11.10,2019.11.10,"6800. Hódmezővásárhely, Kossuth tér 3."
1632,"U21 STANDARD MB,U21 LATIN MB és Kűr MB - MB U21  Standard 2021.05.15",2021.05.15,6760 Kistelek Kossuth u. 5-7
